"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"211","19-0211","RUA JARDIM BOTÂNICO, N.1060","22460000","JARDIM BOTÂNICO","RIO DE JANEIRO","RJ"
"214","19-0214","RUA DIAS DA CRUZ, 787","20720011","MEIER","RIO DE JANEIRO","RJ"
"216","19-0216","AV DOM HELDER CAMARA 4175 - 2 ANDAR","20771001","DEL CASTILHO","RIO DE JANEIRO","RJ"
"218","19-0218","RUA SIDÔNIO PAIS, 54, LOJAS 4 E 5","21350032","CASCADURA","RIO DE JANEIRO","RJ"
"219","19-0219","RUA SIDÔNIO PAES, 54 LOJA 06","21350032","CASCADURA","RIO DE JANEIRO","RJ"
"221","19-0221","RUA PEDRO ALVARES CABRAL, 305, TÉRREO","26525051","CENTRO","NILÓPOLIS","RJ"
"222","19-0222","PRAÇA GETULIO VARGAS, 89/97","28610175","CENTRO","NOVA FRIBURGO","RJ"
"225","19-0225","BR 465, 310, SALA 208 (PRÉDIO DO FORUM)","23890001","JARDIM SAO JORGE","SEROPÉDICA","RJ"
"229","19-0229","AV. PROFESSOR MANOEL DE ABREU, 286","20550170","MARACANÃ","RIO DE JANEIRO","RJ"
"230","19-0230","AV. MARECHAL FONTENELE, 3545, PARQUE SHOPPING SULACAP, TÉRREO","21750000","JARDIM SULACAP","RIO DE JANEIRO","RJ"
"233","19-0233","AV. MARECHAL FONTENELE, 3.545","21740001","JARDIM SULACAP","RIO DE JANEIRO","RJ"
"234","19-0234","AV. MARECHAL FONTENELLE, 3.545, TÉRREO - PARQUE SHOPPING SULACAP","21740001","JARDIM SULACAP","RIO DE JANEIRO","RJ"
"238","19-0238","AVENIDA MARECHAL FONTENELLE, 3545","21740001","JARDIM SULACAP","RIO DE JANEIRO","RJ"
"241","19-0241","RUA MARTINHO DE CAMPOS S/N POSTO AGRICOLA","23515040","SANTA CRUZ","RIO DE JANEIRO","RJ"
"242","19-0242","AV. CESARIO DE MELLO 3963","23050100","CAMPO GRANDE","RIO DE JANEIRO","RJ"
"243","19-0243","RUA MARTINHO DE CAMPOS S/N","23515040","SANTA CRUZ","RIO DE JANEIRO","RJ"
"245","19-0245","RUA DOM PEDRITO, 1, 2 ANDAR - XVIII ADMINISTRAÇÃO REGIONAL","23070170","CAMPO GRANDE","RIO DE JANEIRO","RJ"
"246","19-0246","RUA MARTINHO DE CAMPOS S/N  POSTO AGRÍCOLA","23515040","SANTA CRUZ","RIO DE JANEIRO","RJ"
"254","19-0254","RUA FRANCISCO PORTELA, N. 221","27910200","CENTRO","MACAÉ","RJ"
"255","19-0255","ESTRADA DO CORREIO IMPERIAL - 1003","28735000","PITEIRAS","QUISSAMÃ","RJ"
"256","19-0256","RUA RUI BARBOSA, 608, SOBRELOJA","28907170","CENTRO","CABO FRIO","RJ"
