NM_MUNICIPIO,NR_ZONA,DS_CARGO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS
RIO DE JANEIRO,189,Vereador,CARLO CAIADO,25,DEM,ELEITO POR QP,51
RIO DE JANEIRO,23,Vereador,CARLO CAIADO,25,DEM,ELEITO POR QP,56
RIO DE JANEIRO,213,Vereador,CARLO CAIADO,25,DEM,ELEITO POR QP,80
RIO DE JANEIRO,17,Vereador,CHIQUINHO BRAZÃO,15,PMDB,ELEITO POR QP,89
RIO DE JANEIRO,188,Vereador,JUNIOR DA LUCINHA,15,PMDB,ELEITO POR QP,22
RIO DE JANEIRO,193,Vereador,JUNIOR DA LUCINHA,15,PMDB,ELEITO POR QP,11
RIO DE JANEIRO,204,Vereador,RAFAEL ALOISIO FREITAS,15,PMDB,ELEITO POR QP,221
RIO DE JANEIRO,21,Vereador,THIAGO K. RIBEIRO,15,PMDB,ELEITO POR QP,226
RIO DE JANEIRO,219,Vereador,ALEXANDRE ISQUIERDO,25,DEM,ELEITO POR QP,228
RIO DE JANEIRO,217,Vereador,CESAR MAIA,25,DEM,ELEITO POR QP,648
RIO DE JANEIRO,207,Vereador,CARLO CAIADO,25,DEM,ELEITO POR QP,212
RIO DE JANEIRO,118,Vereador,JUNIOR DA LUCINHA,15,PMDB,ELEITO POR QP,18
RIO DE JANEIRO,25,Vereador,JORGE FELIPPE,15,PMDB,ELEITO POR QP,249
RIO DE JANEIRO,119,Vereador,THIAGO K. RIBEIRO,15,PMDB,ELEITO POR QP,1107
RIO DE JANEIRO,17,Vereador,CARLO CAIADO,25,DEM,ELEITO POR QP,606
RIO DE JANEIRO,191,Vereador,JAIRINHO,15,PMDB,ELEITO POR QP,18
RIO DE JANEIRO,228,Vereador,JORGE FELIPPE,15,PMDB,ELEITO POR QP,90
RIO DE JANEIRO,13,Vereador,ALEXANDRE ISQUIERDO,25,DEM,ELEITO POR QP,166
RIO DE JANEIRO,190,Vereador,CARLO CAIADO,25,DEM,ELEITO POR QP,49
RIO DE JANEIRO,166,Vereador,CARLO CAIADO,25,DEM,ELEITO POR QP,94
RIO DE JANEIRO,13,Vereador,WILLIAN COELHO,15,PMDB,ELEITO POR QP,87
RIO DE JANEIRO,16,Vereador,ROSA FERNANDES,15,PMDB,ELEITO POR QP,73
RIO DE JANEIRO,219,Vereador,CARLO CAIADO,25,DEM,ELEITO POR QP,50
RIO DE JANEIRO,14,Vereador,ALEXANDRE ISQUIERDO,25,DEM,ELEITO POR QP,102
RIO DE JANEIRO,190,Vereador,CESAR MAIA,25,DEM,ELEITO POR QP,533
